Row,Entity,Position X,Position Y,id,length(M),width(M),"type(B=3,D=1,T=2)",parking_type,parking_side
C-148-01,Tracker,342484.3997,3312121.77,6,45,3.92,2,,
C-148-01,Bridge,342486.3587,3312121.43,7,0.82,0.6,3,,
C-148-01,Tracker,342484.3997,3312076.012,8,45,3.92,2,,
,Gap,342486.3587,3312075.672,0,0.64,-1,0,,
C-148-02,Tracker,342484.3997,3312030.254,0,45,3.92,2,,
C-148-02,Bridge,342486.3587,3312029.914,1,0.82,0.6,3,,
C-148-02,Tracker,342484.3997,3311984.496,2,45,3.92,2,,
C-148-02,Dock,342484.3997,3311984.071,3,1.05,0.9,0,Central,South
C-148-02,Tracker,342484.3997,3311938.538,4,45,3.92,2,,
C-148-02,Bridge,342486.3587,3311938.198,5,0.64,0.6,3,,
C-148-02,Tracker,342484.3997,3311892.78,6,45,3.92,2,,
C-148-02,Bridge,342486.3587,3311892.44,7,0.64,0.6,3,,
C-148-02,Tracker,342484.3997,3311847.022,8,45,3.92,2,,
,Gap,342486.3587,3311846.682,0,0.64,-1,0,,
C-148-03,Tracker,342484.3997,3311801.264,0,45,3.92,2,,
C-148-03,Dock,342484.3997,3311800.839,1,0.75,0.9,0,Central,South
C-148-03,Tracker,342484.3997,3311755.306,2,45,3.92,2,,
C-148-03,Bridge,342486.3587,3311754.966,3,0.82,0.6,3,,
C-148-03,Tracker,342484.3997,3311724.563,4,30,3.92,2,,
C-148-03,Bridge,342486.3587,3311724.223,5,0.82,0.6,3,,
C-148-03,Tracker,342484.3997,3311693.805,6,30,3.92,2,,
C-148-03,Bridge,342486.3587,3311693.465,7,0.82,0.6,3,,
C-148-03,Tracker,342484.3997,3311663.047,8,30,3.92,2,,
C-149-01,Tracker,342495.1997,3312253.294,0,45,3.92,2,,
C-149-01,Bridge,342497.1587,3312252.954,1,0.82,0.6,3,,
C-149-01,Tracker,342495.1997,3312207.536,2,45,3.92,2,,
C-149-01,Bridge,342497.1587,3312207.196,3,0.82,0.6,3,,
C-149-01,Tracker,342495.1997,3312161.778,4,45,3.92,2,,
C-149-01,Bridge,342497.1587,3312161.438,5,0.64,0.6,3,,
C-149-01,Tracker,342495.1997,3312116.02,6,45,3.92,2,,
C-149-01,Dock,342495.1464,3312115.595,7,1.05,0.9,0,Central,South
C-149-01,Tracker,342495.1997,3312070.062,8,45,3.92,2,,
C-149-01,Bridge,342497.1587,3312069.722,9,0.82,0.6,3,,
C-149-01,Tracker,342495.1997,3312024.304,10,45,3.92,2,,
C-149-01,Bridge,342497.1587,3312023.964,11,0.82,0.6,3,,
C-149-01,Tracker,342495.1997,3311978.546,12,45,3.92,2,,
,Gap,342497.1587,3311978.206,0,0.82,-1,0,,
C-149-02,Tracker,342495.1997,3311932.788,0,45,3.92,2,,
C-149-02,Bridge,342497.1587,3311932.448,1,0.82,0.6,3,,
C-149-02,Tracker,342495.1997,3311887.03,2,45,3.92,2,,
C-149-02,Bridge,342497.1587,3311886.69,3,0.82,0.6,3,,
C-149-02,Tracker,342495.1997,3311841.272,4,45,3.92,2,,
C-149-02,Dock,342495.1997,3311840.847,5,1.05,0.9,0,Central,South
