Block,Array,Row,Entity,Entity Name,Position X,Position Y,Area,Gap,Soltec Name,Full,docking,tracker length,bridge type
A,A-008,A-008-01,Tracker,A-008-01-T08/15,342127.9997,3313263.98,120,,TR 17.A.04.7,ANG2-A-008-01-T08/15,,,
A,A-009,A-009-01,Tracker,A-009-01-T01/01,342138.7997,3313533.521,180,,TR 19.A.04.2,ANG2-A-009-01-T01/01,,,
A,A-009,A-009-01,Bridge,A-009-01-B01/02,342140.7587,3313533.181,,40-64,,ANG2-A-009-01-B01/02,,,
A,A-009,A-009-01,Tracker,A-009-01-T02/03,342138.7997,3313487.763,180,,TR 19.A.04.3,ANG2-A-009-01-T02/03,,,
A,A-009,A-009-01,Bridge,A-009-01-B02/04,342140.7587,3313487.423,,40-64,,ANG2-A-009-01-B02/04,,,
A,A-009,A-009-01,Tracker,A-009-01-T03/05,342138.7997,3313442.005,180,,TR 19.A.04.5,ANG2-A-009-01-T03/05,,,
A,A-009,A-009-01,Bridge,A-009-01-B03/06,342140.7587,3313441.665,,40-64,,ANG2-A-009-01-B03/06,,,
A,A-009,A-009-01,Tracker,A-009-01-T04/07,342138.7997,3313396.247,180,,TR 19.A.13.3,ANG2-A-009-01-T04/07,,,
A,A-009,A-009-01,Dock,A-009-01-D01/08,342138.7464,3313395.822,,72-75,,ANG2-A-009-01-D01/08,,,
A,A-009,A-009-01,Tracker,A-009-01-T05/09,342138.7997,3313350.289,180,,TR 19.A.13.6,ANG2-A-009-01-T05/09,,,
A,A-009,A-009-01,Bridge,A-009-01-B04/10,342140.7587,3313349.949,,40-64,,ANG2-A-009-01-B04/10,,,
A,A-009,A-009-01,Tracker,A-009-01-T06/11,342138.7997,3313319.546,120,,TR 17.A.04.3,ANG2-A-009-01-T06/11,,,
A,A-009,A-009-01,Bridge,A-009-01-B05/12,342140.7587,3313319.206,,65-82,,ANG2-A-009-01-B05/12,,,
A,A-009,A-009-01,Tracker,A-009-01-T07/13,342138.7997,3313288.788,120,,TR 17.A.04.6,ANG2-A-009-01-T07/13,,,
A,A-009,A-009-01,Bridge,A-009-01-B06/14,342140.7587,3313288.448,,40-64,,ANG2-A-009-01-B06/14,,,
A,A-009,A-009-01,Tracker,A-009-01-T08/15,342138.7997,3313258.03,120,,TR 17.A.04.8,ANG2-A-009-01-T08/15,,,
A,A-010,A-010-01,Tracker,A-010-01-T01/01,342149.5997,3313527.571,180,,TR 19.A.05.1,ANG2-A-010-01-T01/01,,,
A,A-010,A-010-01,Bridge,A-010-01-B01/02,342151.5587,3313527.231,,40-64,,ANG2-A-010-01-B01/02,,,
A,A-010,A-010-01,Tracker,A-010-01-T02/03,342149.5997,3313481.813,180,,TR 19.A.04.4,ANG2-A-010-01-T02/03,,,
A,A-010,A-010-01,Bridge,A-010-01-B02/04,342151.5587,3313481.473,,40-64,,ANG2-A-010-01-B02/04,,,
A,A-010,A-010-01,Tracker,A-010-01-T03/05,342149.5997,3313436.055,180,,TR 19.A.04.6,ANG2-A-010-01-T03/05,,,
A,A-010,A-010-01,Bridge,A-010-01-B03/06,342151.5587,3313435.715,,40-64,,ANG2-A-010-01-B03/06,,,
A,A-010,A-010-01,Tracker,A-010-01-T04/07,342149.5997,3313390.297,180,,TR 19.A.14.1,ANG2-A-010-01-T04/07,,,
A,A-010,A-010-01,Dock,A-010-01-D01/08,342149.5464,3313389.872,,76-105,,ANG2-A-010-01-D01/08,,,
A,A-010,A-010-01,Tracker,A-010-01-T05/09,342149.5997,3313344.339,180,,TR 19.A.14.4,ANG2-A-010-01-T05/09,,,
A,A-010,A-010-01,Bridge,A-010-01-B04/10,342151.5587,3313343.999,,40-64,,ANG2-A-010-01-B04/10,,,
A,A-010,A-010-01,Tracker,A-010-01-T06/11,342149.5997,3313313.596,120,,TR 17.A.05.1,ANG2-A-010-01-T06/11,,,
A,A-010,A-010-01,Bridge,A-010-01-B05/12,342151.5587,3313313.256,,40-64,,ANG2-A-010-01-B05/12,,,
A,A-010,A-010-01,Tracker,A-010-01-T07/13,342149.5997,3313282.838,120,,TR 17.A.05.4,ANG2-A-010-01-T07/13,,,
A,A-010,A-010-01,Bridge,A-010-01-B06/14,342151.5587,3313282.498,,65-82,,ANG2-A-010-01-B06/14,,,
A,A-010,A-010-01,Tracker,A-010-01-T08/15,342149.5997,3313252.08,120,,TR 17.A.04.9,ANG2-A-010-01-T08/15,,,
A,A-011,A-011-01,Tracker,A-011-01-T01/01,342160.3997,3313521.621,180,,TR 19.A.05.2,ANG2-A-011-01-T01/01,,,
A,A-011,A-011-01,Bridge,A-011-01-B01/02,342162.3587,3313521.281,,40-64,,ANG2-A-011-01-B01/02,,,
A,A-011,A-011-01,Tracker,A-011-01-T02/03,342160.3997,3313475.863,180,,TR 19.A.05.3,ANG2-A-011-01-T02/03,,,
A,A-011,A-011-01,Bridge,A-011-01-B02/04,342162.3587,3313475.523,,40-64,,ANG2-A-011-01-B02/04,,,
A,A-011,A-011-01,Tracker,A-011-01-T03/05,342160.3997,3313430.105,180,,TR 19.A.05.5,ANG2-A-011-01-T03/05,,,
A,A-011,A-011-01,Bridge,A-011-01-B03/06,342162.3587,3313429.765,,40-64,,ANG2-A-011-01-B03/06,,,
A,A-011,A-011-01,Tracker,A-011-01-T04/07,342160.3997,3313384.347,180,,TR 19.A.14.2,ANG2-A-011-01-T04/07,,,
A,A-011,A-011-01,Dock,A-011-01-D01/08,342160.3464,3313383.922,,76-105,,ANG2-A-011-01-D01/08,,,
A,A-011,A-011-01,Tracker,A-011-01-T05/09,342160.3997,3313338.389,180,,TR 19.A.14.5,ANG2-A-011-01-T05/09,,,
A,A-011,A-011-01,Bridge,A-011-01-B04/10,342162.3587,3313338.049,,40-64,,ANG2-A-011-01-B04/10,,,
A,A-011,A-011-01,Tracker,A-011-01-T06/11,342160.3997,3313307.646,120,,TR 17.A.05.2,ANG2-A-011-01-T06/11,,,
A,A-011,A-011-01,Bridge,A-011-01-B05/12,342162.3587,3313307.306,,65-82,,ANG2-A-011-01-B05/12,,,
A,A-011,A-011-01,Tracker,A-011-01-T07/13,342160.3997,3313276.888,120,,TR 17.A.05.5,ANG2-A-011-01-T07/13,,,
A,A-011,A-011-01,Bridge,A-011-01-B06/14,342162.3587,3313276.548,,40-64,,ANG2-A-011-01-B06/14,,,
A,A-011,A-011-01,Tracker,A-011-01-T08/15,342160.3997,3313246.13,120,,TR 17.A.05.7,ANG2-A-011-01-T08/15,,,
A,A-012,A-012-01,Tracker,A-012-01-T01/01,342171.1997,3313515.671,180,,TR 19.A.06.1,ANG2-A-012-01-T01/01,,,
A,A-012,A-012-01,Bridge,A-012-01-B01/02,342173.1587,3313515.331,,40-64,,ANG2-A-012-01-B01/02,,,
A,A-012,A-012-01,Tracker,A-012-01-T02/03,342171.1997,3313469.913,180,,TR 19.A.05.4,ANG2-A-012-01-T02/03,,,
A,A-012,A-012-01,Bridge,A-012-01-B02/04,342173.1587,3313469.573,,40-64,,ANG2-A-012-01-B02/04,,,
A,A-012,A-012-01,Tracker,A-012-01-T03/05,342171.1997,3313424.155,180,,TR 19.A.05.6,ANG2-A-012-01-T03/05,,,
A,A-012,A-012-01,Bridge,A-012-01-B03/06,342173.1587,3313423.815,,40-64,,ANG2-A-012-01-B03/06,,,
A,A-012,A-012-01,Tracker,A-012-01-T04/07,342171.1997,3313378.397,180,,TR 19.A.14.3,ANG2-A-012-01-T04/07,,,
A,A-012,A-012-01,Dock,A-012-01-D01/08,342171.1464,3313377.972,,76-105,,ANG2-A-012-01-D01/08,,,
A,A-012,A-012-01,Tracker,A-012-01-T05/09,342171.1997,3313332.439,180,,TR 19.A.14.6,ANG2-A-012-01-T05/09,,,
A,A-012,A-012-01,Bridge,A-012-01-B04/10,342173.1587,3313332.099,,40-64,,ANG2-A-012-01-B04/10,,,
A,A-012,A-012-01,Tracker,A-012-01-T06/11,342171.1997,3313301.696,120,,TR 17.A.05.3,ANG2-A-012-01-T06/11,,,
A,A-012,A-012-01,Bridge,A-012-01-B05/12,342173.1587,3313301.356,,40-64,,ANG2-A-012-01-B05/12,,,
